"age","region","cases","total","ltotal"
"35-44","south",75,220407,12.3032311161921
"45-54","south",68,198119,12.1966231392434
"55-64","south",63,134084,11.8062217482065
"65-74","south",45,70708,11.1663139996558
"75+","south",27,34233,10.4409453701028
"<35","south",64,1074246,13.8871295781023
"35-44","north",76,564535,13.2437576624213
"45-54","north",98,592983,13.2929210097780
"55-64","north",104,450740,13.0186459555727
"65-74","north",63,270908,12.5095345588295
"75+","north",80,161850,11.9944252593544
"<35","north",61,2880262,14.8733918201966
